id,title,required_skills
40,Bob,"JavaScript, React, Node.js, Self Motivated"
41,Bob,"Ruby, SQL, Problem Solving"
42,Bob,"JavaScript, HTML/CSS, React, Teamwork"
43,Bob,"Java, SQL, Node.js, Problem Solving"
44,Bob,"JavaScript, HTML/CSS, Node.js, Ruby, SQL, Communication"
45,Bob,"JavaScript, React, Self Motivated"
46,Bob,"Cloud Computing, Python, Communication"
47,Bob,"JavaScript, React, Self Motivated"
48,Bob,"HTML/CSS, JavaScript, Ruby, Teamwork"
49,Bob,"Python, SQL, Problem Solving, Self Motivated"
50,Bob,"JavaScript, React, Node.js, Self Motivated"
51,Bob,"Ruby, SQL, Problem Solving"
52,Bob,"JavaScript, HTML/CSS, React, Teamwork"
53,Bob,"Java, SQL, Node.js, Problem Solving"
54,Bob,"JavaScript, HTML/CSS, Node.js, Ruby, SQL, Communication"
55,Bob,"Python, Machine Learning, Adaptability"
56,Bob,"Cloud Computing, Python, Communication"
57,Bob,"Python, SQL, Machine Learning, Adaptability"
58,Bob,"JavaScript, React, Self Motivated"
59,Bob,"JavaScript, React, Self Motivated"
60,Bob,"JavaScript, React, Node.js, Self Motivated"
61,Bob,"Ruby, SQL, Problem Solving"
62,Bob,"JavaScript, HTML/CSS, React, Teamwork"
63,Bob,"Java, SQL, Node.js, Problem Solving"
64,Bob,"JavaScript, HTML/CSS, Node.js, Ruby, SQL, Communication"
65,Bob,"Python, Machine Learning, Adaptability"
66,Bob,"Cloud Computing, Python, Communication"
67,Bob,"Python, SQL, Machine Learning, Adaptability"
68,Bob,"HTML/CSS, JavaScript, Ruby, Teamwork"
69,Bob,"Python, SQL, Problem Solving, Self Motivated"
70,Bob,"JavaScript, React, Node.js, Self Motivated"
71,Bob,"Ruby, SQL, Problem Solving"
72,Bob,"JavaScript, HTML/CSS, React, Teamwork"
73,Bob,"Java, SQL, Node.js, Problem Solving"
74,Bob,"JavaScript, HTML/CSS, Node.js, Ruby, SQL, Communication"
75,Bob,"Python, Machine Learning, Adaptability"
76,Bob,"Cloud Computing, Python, Communication"
77,Bob,"Python, SQL, Machine Learning, Adaptability"
78,Bob,"HTML/CSS, JavaScript, Ruby, Teamwork"
79,Bob,"Python, SQL, Problem Solving, Self Motivated"
80,Bob,"JavaScript, React, Node.js, Self Motivated"
81,Bob,"Ruby, SQL, Problem Solving"
82,Bob,"JavaScript, HTML/CSS, React, Teamwork"
83,Bob,"Java, SQL, Node.js, Problem Solving"
84,Bob,"JavaScript, HTML/CSS, Node.js, Ruby, SQL, Communication"
85,Bob,"Python, Machine Learning, Adaptability"
86,Bob,"Cloud Computing, Python, Communication"
87,Bob,"Python, SQL, Machine Learning, Adaptability"
88,Bob,"HTML/CSS, JavaScript, Ruby, Teamwork"
89,Bob,"Python, SQL, Problem Solving, Self Motivated"
90,Bob,"JavaScript, React, Node.js, Self Motivated"
91,Bob,"Ruby, SQL, Problem Solving"
92,Bob,"JavaScript, HTML/CSS, React, Teamwork"
93,Bob,"Java, SQL, Node.js, Problem Solving"
94,Bob,"JavaScript, HTML/CSS, Node.js, Ruby, SQL, Communication"
95,Bob,"Python, Machine Learning, Adaptability"
96,Bob,"Cloud Computing, Python, Communication"
97,Bob,"Python, SQL, Machine Learning, Adaptability"
98,Bob,"HTML/CSS, JavaScript, Ruby, Teamwork"
99,Bob,"Python, SQL, Problem Solving, Self Motivated"
100,Bob,"Python, SQL, Problem Solving, Self Motivated"
